time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
0,-85.1603,-86.2,7.9998e-05,0.56,11.6,138.3,0,0.750665,0.750069,8.59428e-08,0.985459,3.14396e-05,1,1.11058e-10,1.02238e-06,1,1.00006,0.999999,-51.9849
5,20.1756,-86.2,0.00067211,0.434646,11.6041,138.305,0.96,7.34173e-10,0.00340565,0.0735973,0.173082,0.00428337,0.555243,0.342363,0.967632,0.975243,0.583145,0.430986,1.89785
10,13.1541,-86.2,0.000987627,0.404635,11.6037,138.303,0.9,2.66556e-22,1.97027e-06,0.163637,0.0429153,0.00838559,0.255645,0.30479,0.919002,0.938626,0.249073,0.035378,0.259687
15,14.3217,-86.2,0.000985664,0.405975,11.6035,138.302,0.95,1.65699e-34,3.04196e-09,0.230071,0.0196147,0.0123079,0.124852,0.26551,0.92853,0.901966,0.21905,0.00290406,-0.471862
20,16.7228,-86.2,0.000953732,0.409685,11.6032,138.301,0.94,6.07684e-47,2.0142e-12,0.302628,0.0142458,0.016357,0.0585011,0.32721,0.947095,0.867879,0.217596,0.000238464,-0.452071
25,18.7183,-86.2,0.000919631,0.413607,11.6029,138.301,0.93,1.36942e-59,4.79765e-16,0.381331,0.0123391,0.0205412,0.0258396,0.411475,0.959045,0.836556,0.217596,1.97242e-05,-0.34416
30,20.1522,-86.2,0.000885936,0.417557,11.6024,138.301,0.97,2.23509e-72,4.72999e-20,0.461443,0.0113513,0.0248224,0.0108262,0.481875,0.966021,0.807559,0.217596,1.89056e-06,-0.229854
35,21.029,-86.2,0.000853104,0.421519,11.602,138.301,0.96,3.00654e-85,2.45019e-24,0.537861,0.0107759,0.0291605,0.00441573,0.528775,0.969736,0.780351,0.217596,6.512e-07,-0.124231
40,21.4329,-86.2,0.000821333,0.425488,11.6015,138.301,0.98,3.66457e-98,8.75411e-29,0.606776,0.010471,0.0335193,0.00184084,0.553429,0.97134,0.754474,0.217596,6.51083e-07,-0.0422711
45,21.4956,-86.2,0.00079072,0.429463,11.601,138.301,0.94,4.3191e-111,2.73414e-33,0.666433,0.0103552,0.0378705,0.000848534,0.561376,0.971614,0.729597,0.217596,6.51083e-07,0.0128014
